customer_id,first_purchase,last_purchase,frequency,monetary,average_order_value,recency_days,tenure_days,r_score,f_score,m_score,rfm_score,business_segment,kmeans_cluster
12477,2011-02-11 12:45:00,2011-11-17 09:51:00,6,13219.739999999998,2203.2899999999995,23,278,3,4,4,11,Loyal Customers,1
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,680.99,4,0,4,1,3,8,New / Promising,0
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,527.2,11,0,4,1,2,7,New / Promising,0
12480,2011-01-07 15:27:00,2011-11-11 14:52:00,4,3281.63,820.4075,28,307,3,3,4,10,Loyal Customers,1
12481,2010-12-09 10:13:00,2011-11-17 08:29:00,10,5579.82,557.982,23,342,3,4,4,11,Loyal Customers,1
12483,2011-01-04 14:20:00,2011-11-22 17:02:00,8,2484.98,310.6225,17,322,4,4,4,12,Champions,1
12484,2011-01-07 14:04:00,2011-11-07 11:37:00,6,4527.32,754.5533333333333,33,303,3,4,4,11,Loyal Customers,1
12488,2011-09-25 10:34:00,2011-11-30 08:50:00,3,1298.66,432.8866666666667,10,65,4,3,3,10,Loyal Customers,1
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,334.93,336,0,1,1,2,4,Other,0
12490,2011-01-14 09:13:00,2011-12-04 16:07:00,10,5417.93,541.793,5,324,4,4,4,12,Champions,1
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.40000000000003,460.40000000000003,39,0,3,1,2,6,New / Promising,0
12492,2011-08-26 14:51:00,2011-10-07 15:15:00,2,263.21000000000004,131.60500000000002,63,42,2,2,1,5,Other,0
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,2,433.74,216.87,166,31,1,2,2,5,Other,0
12494,2010-12-09 11:31:00,2011-11-24 09:34:00,7,1246.1000000000001,178.01428571428573,16,349,4,4,3,11,Champions,1
12497,2011-09-19 12:29:00,2011-09-19 12:29:00,1,1043.1,1043.1,82,0,2,1,3,6,Other,0
12498,2011-10-13 09:30:00,2011-11-18 12:53:00,3,403.70000000000005,134.5666666666667,21,36,3,3,2,8,Loyal Customers,0
12500,2011-01-10 09:48:00,2011-11-16 16:20:00,11,4257.82,387.07454545454544,23,310,3,4,4,11,Loyal Customers,1
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,2169.39,337,0,1,1,4,6,High Value,0
12502,2011-02-03 10:41:00,2011-09-05 11:52:00,5,3723.87,744.774,96,214,2,3,4,9,At Risk,1
12504,2011-11-09 14:56:00,2011-11-21 16:02:00,2,482.04999999999995,241.02499999999998,18,12,4,2,2,8,New / Promising,0
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,73.5,233,0,1,1,1,3,Other,0
12507,2011-02-14 09:24:00,2011-07-28 17:09:00,3,1304.81,434.93666666666667,134,164,2,3,3,8,At Risk,0
12508,2011-11-10 16:27:00,2011-11-13 15:37:00,2,397.88,198.94,26,2,3,2,2,7,New / Promising,0
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,176.5,284,0,1,1,1,3,Other,0
12510,2011-01-18 14:04:00,2011-07-20 10:15:00,2,982.5699999999999,491.28499999999997,143,182,1,2,3,6,Other,0
12512,2011-10-04 14:53:00,2011-10-04 14:55:00,2,132.18,66.09,66,0,2,2,1,5,Other,0
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,612.29,113,0,2,1,2,5,Other,0
12514,2011-03-17 16:38:00,2011-03-17 16:38:00,1,1017.68,1017.68,267,0,1,1,3,5,Other,0
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,383.7,353,0,1,1,2,4,Other,0
12516,2011-06-12 11:37:00,2011-09-23 09:13:00,2,1312.06,656.03,78,102,2,2,3,7,Other,0
12517,2011-06-02 15:13:00,2011-11-11 14:04:00,5,2481.6,496.32,28,161,3,3,4,10,Loyal Customers,1
12518,2011-08-21 13:18:00,2011-12-09 10:13:00,5,2056.89,411.378,1,109,4,3,4,11,Loyal Customers,1
12519,2011-10-07 09:26:00,2011-10-07 09:26:00,1,330.84,330.84,64,0,2,1,2,5,Other,0
12520,2011-03-11 11:35:00,2011-09-21 15:23:00,5,2634.26,526.8520000000001,79,194,2,3,4,9,At Risk,1
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,599.68,143,0,1,1,2,4,Other,0
12522,2011-10-19 14:41:00,2011-10-31 15:30:00,2,192.72,96.36,39,12,3,2,1,6,New / Promising,0
12523,2011-01-12 09:43:00,2011-11-20 12:55:00,11,1789.77,162.70636363636365,19,312,3,4,4,11,Loyal Customers,1
12524,2011-01-10 10:35:00,2011-11-30 15:31:00,8,4485.719999999999,560.7149999999999,9,324,4,4,4,12,Champions,1
12526,2011-09-06 14:19:00,2011-12-09 12:09:00,3,1316.6599999999999,438.8866666666666,1,93,4,3,3,10,Loyal Customers,1
12527,2011-01-18 12:05:00,2011-09-19 11:55:00,3,348.71000000000004,116.23666666666668,82,243,2,3,2,7,At Risk,0
12528,2011-01-31 09:05:00,2011-11-30 14:40:00,6,1933.48,322.24666666666667,9,303,4,4,4,12,Champions,1
12530,2011-01-07 10:04:00,2011-10-11 12:34:00,4,1662.2800000000002,415.57000000000005,60,277,2,3,4,9,At Risk,1
12531,2011-11-25 11:12:00,2011-11-25 11:12:00,1,125.22,125.22,15,0,4,1,1,6,New / Promising,0
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,1,349.83000000000004,349.83000000000004,30,0,3,1,2,6,New / Promising,0
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1089.18,1089.18,131,0,2,1,3,6,Other,0
12535,2011-06-06 12:47:00,2011-09-09 08:48:00,2,716.3499999999999,358.17499999999995,92,94,2,2,3,7,Other,0
12536,2011-10-11 14:52:00,2011-10-27 14:20:00,3,12601.830000000002,4200.610000000001,43,15,3,3,4,10,Loyal Customers,1
12538,2011-11-10 17:16:00,2011-11-10 17:16:00,1,363.95,363.95,29,0,3,1,2,6,New / Promising,0
12539,2011-01-10 09:11:00,2011-11-17 13:30:00,4,5568.35,1392.0875,22,311,3,3,4,10,Loyal Customers,1
12540,2010-12-13 09:39:00,2011-11-20 11:31:00,17,13400.24,788.2494117647059,20,342,3,4,4,11,Loyal Customers,1
12541,2011-03-04 09:32:00,2011-11-10 10:40:00,3,981.1800000000001,327.06,30,251,3,3,3,9,Loyal Customers,1
12544,2011-11-03 16:15:00,2011-11-03 16:15:00,1,372.7,372.7,36,0,3,1,2,6,New / Promising,0
12545,2011-03-25 12:04:00,2011-09-25 13:39:00,2,1000.39,500.195,75,184,2,2,3,7,Other,0
12546,2011-09-23 09:44:00,2011-10-24 12:09:00,2,1161.5,580.75,47,31,3,2,3,8,New / Promising,0
12547,2011-03-04 12:46:00,2011-05-26 12:38:00,2,207.8,103.9,198,82,1,2,1,4,Other,0
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,1,95.19999999999999,95.19999999999999,166,0,1,1,1,3,Other,0
12550,2011-09-21 14:35:00,2011-09-21 14:35:00,1,964.83,964.83,79,0,2,1,3,6,Other,0
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,1,168.0,168.0,358,0,1,1,1,3,Other,0
12552,2011-10-31 12:11:00,2011-11-01 10:02:00,2,437.82,218.91,39,0,3,2,2,7,New / Promising,0
12553,2011-01-14 10:42:00,2011-12-01 16:38:00,10,3692.28,369.228,8,321,4,4,4,12,Champions,1
12556,2011-07-11 13:35:00,2011-10-20 13:06:00,2,599.56,299.78,50,100,3,2,2,7,New / Promising,0
12557,2010-12-03 12:20:00,2011-11-23 16:59:00,5,11990.960000000001,2398.192,16,355,4,3,4,11,Loyal Customers,1
12558,2011-12-02 10:41:00,2011-12-02 10:41:00,1,269.96,269.96,8,0,4,1,1,6,New / Promising,0
12559,2011-01-24 10:12:00,2011-02-02 09:49:00,2,561.71,280.855,311,8,1,2,2,5,Other,0
12560,2011-07-19 15:55:00,2011-12-04 13:54:00,3,2134.01,711.3366666666667,5,137,4,3,4,11,Loyal Customers,1
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,1,238.85,238.85,303,0,1,1,1,3,Other,0
12562,2011-05-25 12:44:00,2011-12-01 17:20:00,7,3781.74,540.2485714285714,8,190,4,4,4,12,Champions,1
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,1,456.90000000000003,456.90000000000003,261,0,1,1,2,4,Other,0
12565,2011-02-24 10:34:00,2011-02-24 10:34:00,1,145.92,145.92,289,0,1,1,1,3,Other,0
12566,2011-09-14 14:30:00,2011-09-14 14:30:00,1,351.65,351.65,86,0,2,1,2,5,Other,0
12567,2010-12-05 11:57:00,2011-11-17 11:02:00,10,9401.28,940.128,23,346,3,4,4,11,Loyal Customers,1
12569,2011-04-01 13:47:00,2011-12-07 16:24:00,32,4124.6900000000005,128.89656250000002,2,250,4,4,4,12,Champions,1
12571,2011-08-10 12:35:00,2011-10-31 10:19:00,2,519.61,259.805,40,81,3,2,2,7,New / Promising,0
12572,2011-10-19 08:20:00,2011-12-01 09:20:00,2,1020.4200000000001,510.21000000000004,9,43,4,2,3,9,New / Promising,1
12573,2011-04-26 15:52:00,2011-04-26 15:52:00,1,160.54000000000002,160.54000000000002,227,0,1,1,1,3,Other,0
12574,2011-01-28 09:20:00,2011-01-28 09:20:00,1,218.45000000000002,218.45000000000002,316,0,1,1,1,3,Other,0
12576,2011-02-08 11:31:00,2011-11-04 10:11:00,5,1315.83,263.166,36,268,3,3,3,9,Loyal Customers,1
12577,2010-12-15 16:21:00,2011-11-04 13:24:00,3,626.6,208.86666666666667,35,323,3,3,2,8,Loyal Customers,0
12578,2011-01-13 15:34:00,2011-11-18 13:30:00,2,2794.51,1397.255,21,308,3,2,4,9,New / Promising,1
12579,2011-09-22 17:15:00,2011-09-22 17:15:00,1,440.42,440.42,78,0,2,1,2,5,Other,0
12580,2011-04-07 10:24:00,2011-04-07 10:24:00,1,415.7,415.7,247,0,1,1,2,4,Other,0
12581,2011-10-31 08:56:00,2011-10-31 08:56:00,1,197.71,197.71,40,0,3,1,1,5,New / Promising,0
12582,2011-02-24 11:42:00,2011-04-15 08:45:00,2,511.36,255.68,239,49,1,2,2,5,Other,0
12583,2010-12-01 08:45:00,2011-12-07 08:07:00,15,7281.38,485.42533333333336,3,370,4,4,4,12,Champions,1
12584,2011-03-04 15:15:00,2011-12-06 09:35:00,9,2338.15,259.7944444444445,4,276,4,4,4,12,Champions,1
12585,2010-12-23 12:58:00,2011-04-19 13:39:00,2,2040.1,1020.05,234,117,1,2,4,7,High Value,0
12586,2011-11-22 16:24:00,2011-11-22 16:24:00,1,196.94,196.94,17,0,4,1,1,6,New / Promising,0
12587,2011-12-02 12:47:00,2011-12-02 12:47:00,1,144.0,144.0,8,0,4,1,1,6,New / Promising,0
12588,2011-10-31 15:01:00,2011-10-31 15:01:00,1,214.89999999999998,214.89999999999998,39,0,3,1,1,5,New / Promising,0
12589,2011-07-18 12:05:00,2011-11-11 10:19:00,2,646.68,323.34,29,115,3,2,2,7,New / Promising,0
12590,2011-05-12 14:46:00,2011-05-12 14:52:00,2,9864.26,4932.13,211,0,1,2,4,7,High Value,1
12591,2011-01-26 14:35:00,2011-01-26 14:35:00,1,452.85,452.85,317,0,1,1,2,4,Other,0
12592,2011-05-10 13:44:00,2011-09-08 15:04:00,2,437.6,218.8,92,121,2,2,2,6,Other,0
12593,2011-05-05 09:29:00,2011-08-23 12:43:00,3,418.1,139.36666666666667,109,110,2,3,2,7,At Risk,0
12594,2011-01-21 09:52:00,2011-11-02 12:20:00,10,3338.2200000000003,333.822,38,285,3,4,4,11,Loyal Customers,1
12596,2011-04-11 13:22:00,2011-10-19 13:02:00,2,618.27,309.135,51,190,3,2,2,7,New / Promising,0
12597,2011-03-16 14:00:00,2011-11-20 13:33:00,4,3811.22,952.805,19,248,3,3,4,10,Loyal Customers,1
12598,2011-02-28 11:58:00,2011-11-30 12:18:00,8,3023.08,377.885,10,275,4,4,4,12,Champions,1
12599,2011-02-08 13:28:00,2011-11-10 13:34:00,7,1032.58,147.51142857142855,29,275,3,4,3,10,Loyal Customers,1
12600,2010-12-03 12:57:00,2011-11-11 10:29:00,10,2599.04,259.904,29,342,3,4,4,11,Loyal Customers,1
12601,2011-01-11 10:38:00,2011-06-03 10:17:00,5,577.06,115.41199999999999,190,142,1,3,2,6,At Risk,0
12602,2011-10-12 11:22:00,2011-10-12 11:22:00,1,153.12,153.12,59,0,2,1,1,4,Other,0
12603,2011-11-18 10:42:00,2011-11-18 10:42:00,1,739.1999999999999,739.1999999999999,22,0,3,1,3,7,New / Promising,0
12604,2011-03-23 12:06:00,2011-09-21 14:08:00,2,254.18,127.09,79,182,2,2,1,5,Other,0
12607,2011-10-10 16:06:00,2011-10-10 16:06:00,1,1579.51,1579.51,60,0,2,1,3,6,Other,0
12609,2011-01-25 15:13:00,2011-09-22 16:34:00,3,1126.85,375.6166666666666,78,240,2,3,3,8,At Risk,0
12610,2011-08-05 13:52:00,2011-11-17 09:34:00,5,2099.54,419.908,23,103,3,3,4,10,Loyal Customers,1
12611,2011-10-18 13:12:00,2011-10-18 13:12:00,1,1193.32,1193.32,52,0,2,1,3,6,Other,0
12612,2011-09-26 15:35:00,2011-09-26 15:35:00,1,704.0400000000001,704.0400000000001,74,0,2,1,3,6,Other,0
12613,2011-03-22 15:42:00,2011-10-13 14:59:00,5,3344.38,668.876,57,204,2,3,4,9,At Risk,1
12614,2011-03-07 10:22:00,2011-03-07 10:22:00,1,315.6,315.6,278,0,1,1,2,4,Other,0
12615,2011-06-24 13:35:00,2011-12-07 15:02:00,4,2291.19,572.7975,2,166,4,3,4,11,Loyal Customers,1
12616,2011-02-15 14:17:00,2011-09-05 15:17:00,2,713.3,356.65,95,202,2,2,3,7,Other,0
12617,2011-11-10 14:39:00,2011-11-10 14:39:00,1,352.98,352.98,29,0,3,1,2,6,New / Promising,0
12618,2011-11-18 11:10:00,2011-11-18 11:10:00,1,177.31,177.31,22,0,3,1,1,5,New / Promising,0
12619,2011-03-31 13:10:00,2011-11-23 14:52:00,9,3641.24,404.5822222222222,16,237,4,4,4,12,Champions,1
12620,2011-05-19 12:10:00,2011-11-25 10:20:00,3,1339.4099999999999,446.46999999999997,15,189,4,3,3,10,Loyal Customers,1
12621,2010-12-09 10:16:00,2011-12-08 11:25:00,20,13689.67,684.4835,2,364,4,4,4,12,Champions,1
12622,2011-04-21 16:39:00,2011-04-21 16:39:00,1,180.1,180.1,232,0,1,1,1,3,Other,0
12623,2011-03-08 13:50:00,2011-03-08 13:50:00,1,305.1,305.1,276,0,1,1,1,3,Other,0
12624,2011-06-15 12:34:00,2011-08-25 15:04:00,2,641.13,320.565,106,71,2,2,2,6,Other,0
